Date,Description,Debit,Credit,Balance
09/02/2026,UPI-ZOMATO-ORDER-1120@icici,658.8,0.0,151291.94000000003
10/02/2026,UPI-AMAZON-PAY-8831@apl,569.25,0.0,150722.69000000003
11/02/2026,UPI-RAMESH-STORES-9842@ybl,708.72,0.0,150013.97000000003
11/02/2026,UPI-AMAZON-PAY-8831@apl,469.01,0.0,149544.96000000002
12/02/2026,UPI-ZOMATO-ORDER-1120@icici,798.97,0.0,148745.99000000002
12/02/2026,UPI-RAMESH-STORES-9842@ybl,781.81,0.0,147964.18000000002
13/02/2026,UPI-ZOMATO-ORDER-1120@icici,283.06,0.0,147681.12000000002
13/02/2026,UPI-RAMESH-STORES-9842@ybl,751.83,0.0,146929.29000000004
14/02/2026,UPI-ZOMATO-ORDER-1120@icici,234.5,0.0,146694.79000000004
15/02/2026,UPI-UBER-RIDE-0021@okaxis,582.39,0.0,146112.40000000002
16/02/2026,UPI-UBER-RIDE-0021@okaxis,555.9,0.0,145556.50000000003
16/02/2026,UPI-AMAZON-PAY-8831@apl,180.19,0.0,145376.31000000003
17/02/2026,UPI-RAMESH-STORES-9842@ybl,495.06,0.0,144881.25000000003
18/02/2026,UPI-SWIGGY-PAYMENT-9821@axisbank,749.46,0.0,144131.79000000004
19/02/2026,UPI-UBER-RIDE-0021@okaxis,775.55,0.0,143356.24000000005
20/02/2026,UPI-ZOMATO-ORDER-1120@icici,550.13,0.0,142806.11000000004
20/02/2026,UPI-ZOMATO-ORDER-1120@icici,541.74,0.0,142264.37000000005
21/02/2026,UPI-UBER-RIDE-0021@okaxis,740.29,0.0,141524.08000000005
22/02/2026,UPI-UBER-RIDE-0021@okaxis,292.62,0.0,141231.46000000005
23/02/2026,UPI-ZOMATO-ORDER-1120@icici,294.29,0.0,140937.17000000004
23/02/2026,UPI-UBER-RIDE-0021@okaxis,212.2,0.0,140724.97000000003
24/02/2026,UPI-UBER-RIDE-0021@okaxis,155.22,0.0,140569.75000000003
24/02/2026,UPI-RAMESH-STORES-9842@ybl,781.12,0.0,139788.63000000003
25/02/2026,UPI-UBER-RIDE-0021@okaxis,168.76,0.0,139619.87000000002
26/02/2026,UPI-AMAZON-PAY-8831@apl,622.68,0.0,138997.19000000003
26/02/2026,UPI-RAMESH-STORES-9842@ybl,722.69,0.0,138274.50000000003
27/02/2026,UPI-RAMESH-STORES-9842@ybl,734.08,0.0,137540.42000000004
28/02/2026,UPI-UBER-RIDE-0021@okaxis,300.02,0.0,137240.40000000005
28/02/2026,UPI-UBER-RIDE-0021@okaxis,470.78,0.0,136769.62000000005
01/03/2026,UPI-ZOMATO-ORDER-1120@icici,408.82,0.0,136360.80000000005
15/01/2026,UPI-NETFLIX-ENTERTAINMENT@icici,499.0,0.0,135861.80000000005
15/02/2026,UPI-NETFLIX-ENTERTAINMENT@icici,649.0,0.0,135212.80000000005
20/02/2026,UPI-ZOMATO-ORDER-9912@icici,340.0,0.0,134872.80000000005
20/02/2026,UPI-ZOMATO-ORDER-9912@icici,340.0,0.0,134532.80000000005
